id,name,name_en,title,catg,catg_cn,catg_en,tag,intro1,intro2,intro2_en,coin_consume,coin_consume_vip,freq_all,coll_all,degree,viponly,onlineflag,autoflag,order,onlinetime,img
16,分层聚类分析(hca),Hierarchical Cluster Analysis (HCA),hca,cluster,聚类分析,"hca, statics","hca,聚类，群分析",将类似的数据划分成同一个组，组成类别。,根据不同的类或簇之间的相似性与差异性，进行分类,Cluster data with similar properties.,1,0,4,348,000,0,1,0,27,2016-05-15 18:00:00,newicon/hca.png
17,散点图,Scatter plot,scatterplot,plot,基础绘图,regression analysis,"点,回归分析",将表格数据绘制成一个散点图。,将表格数据绘制成一个散点图,Demonstrate file data in a scatter plot.,1,0,3,145,000,0,1,0,10,2016-04-07 18:00:00,newicon/scatterplot.png
18,折线图,Line chart,line,plot,基础绘图,"line, trend",趋势分析,将表格数据绘制成一个折线图。,将表格数据绘制成一个折线图,Demonstrate file data in a line chart.,1,0,3,132,000,0,1,0,11,2016-04-07 18:00:00,newicon/line.png
19,柱状图,Histogram,histogram,plot,基础绘图,"2D, histogram","二维,柱状图",将表格数据绘制成一个柱状图。,将表格数据绘制成一个柱状图,Demonstrate file data in a histogram.,1,0,3,175,000,0,1,0,12,2016-04-07 18:00:00,newicon/histogram.png
20,频率直方图,Frequency Histogram,freqhistogram,plot,基础绘图,"visual, frequency",可视化，频率,将表格数据绘制成一个频率直方图。,将表格数据绘制成一个频率直方图,Demonstrate the frequency distribution of file data in a frequency histogram.,1,0,3,99,000,0,1,0,48,2018-05-11 18:00:00,newicon/freqhistogram.png
21,面积图,Area graph,area,plot,基础绘图,"visualization, area ",可视化，面积,将表格数据绘制成一个面积图。,将表格数据绘制成一个面积图,Visualizing data with an area graph,1,0,3,61,000,0,1,0,13,2016-04-07 18:00:00,newicon/area.png
22,盒形图,Boxplot,box,plot,基础绘图,"visualization, boxplot","箱图,质量评估",将表格数据绘制成一个盒形图。,将表格数据绘制成一个盒形图,Visualizing data with a boxplot.,1,0,3,294,000,0,1,0,14,2016-04-07 18:00:00,newicon/box.png
23,气泡图,Bubble plot,bubble,plot,基础绘图,"visualization, bubble",气泡,将表格数据绘制成一个气泡图。,将表格数据绘制成一个气泡图,Visualizing data with a bubble plot.,1,0,3,225,000,0,1,0,15,2016-04-07 18:00:00,newicon/bubble.png
24,热图,Heatmap,heatmap,plot,基础绘图,"heatmap, visual, cluster","热图,聚类,heatmap",将表格数据绘制成一个热图。,将表格数据绘制成一个热图,A graphical representation of data matrix with colors.,15,0,3,1433,000,0,1,1,16,2016-04-07 18:00:00,newicon/heatmap2.png
25,韦恩图,Venn,venn,plot,基础绘图,"venn, senior","venn,维恩,韦恩图,韦恩",用来显示数据元素重叠区域。,用来显示数据元素重叠区域,Shows all possible logical relations between different data sets,8,0,3,806,000,0,0,0,174,2023-08-07 16:21:42,newicon/venn.png
26,趋势分析,Trend Analysis,trend,cluster,聚类分析,"STEM, Cluster, expression","趋势分析,trend",可以找到具有相同表达模式的基因。,可以找到具有相同表达模式的基因,Cluster genes with similar expression patterns,8,0,4,512,000,0,1,0,17,2016-04-07 18:00:00,newicon/trend.png
27,KEGG富集分析,Pathway Enrichment Analysis,pathwaygsea,func,功能分析,enrichment analysis,富集分析,Pathway富集分析 。,应用超几何检验，找出与整个基因组背景相比，在差异表达基因中显著性富集的Pathway,Pathway enrichment analysis in given gene sets comparing to the genome background.,25,0,6,832,000,0,0,0,18,2016-04-07 18:00:00,newicon/pathwaygsea.png
28,GO富集分析,GO enrichment analysis,gogsea,func,功能分析,GO enrichment analysis,富集分析,Go富集分析。,应用超几何检验，找出与整个基因组背景相比，在差异表达基因中显著富集的GO条目,Analyze GO terms that significantly enriched in a given gene set comparing to the genome background.,25,0,6,794,000,0,0,0,19,2016-04-07 18:00:00,newicon/gogsea.png
29,有向网络图,Directed Interaction Network,cytoscape,report,动态交互,"cytoscape, editable","有向网络图,可编辑",图形化显示有向网络。,一款图形化显示有向网络并进行分析和编辑的软件,Constructing directed molecular interaction networks.,3,0,3,238,000,0,1,1,32,2016-07-13 18:00:00,newicon/cytoscape.png
30,火山图,Volcano plot,volcano,plot,基础绘图,"volcano ,senior","volcano,火山图",将源数据绘制成一个火山图。,用两组样品间的差异基因绘制火山图,Displaying significant difference between two groups of data.,5,0,3,617,000,0,1,0,20,2016-04-07 18:00:00,newicon/volcano.png
31,MA图,MA plot,maplot,plot,基础绘图,"MAplot, senior","maplot,MA",将源数据绘制成一个MA图。,用两组样品间的差异基因绘制MA图,Displaying significant difference between two groups of data.,1,0,3,138,000,0,1,0,21,2016-04-07 18:00:00,newicon/maplot.png
32,Krona层级饼图,Krona chart,krona,plot,基础绘图,"krona, pie","krona,层级,饼图",将源数据绘制成一个层级关系饼图。,在清楚看到层级关系的情况下，动态展示各部分所占比例,Krona allows hierarchical data to be explored with zoomable pie charts.,1,0,3,87,000,0,1,0,22,2016-04-07 18:00:00,newicon/krona.png
33,SVG转换,SVG Format Conversion,svgconverter,form,表格与格式,"SVG, image converter","svg,格式转换,图形转换,图型转换",svg转换到其他常用格式。,将SVG格式转换成其它常用格式,Convert SVG images into other formats.,1,0,0,135,000,0,1,0,45,2017-09-08 18:00:00,newicon/svgconverter.png
34,富集气泡图,Senior Bubble plot,seniorbubble,plot,基础绘图,"senior , bubble","气泡图,高级,bubble",KEGG富集分析结果的可视化。,KEGG富集分析结果的可视化,Demonstrate file data in a senior bubble plot.,8,0,3,566,000,0,0,0,160,2022-05-24 10:44:21,newicon/seniorbubble.png
35,COG/KOG图,COG/KOG Histogram,cog,func,功能分析,"cog ,senior",cog,根据基因的COG/KOG ID或COG/KOG code绘制柱状统计图。,根据基因的COG/KOG ID或COG/KOG code绘制柱状统计图,Draw a histogram using COG/KOG IDs or COG/KOG codes of genes.,1,0,6,179,000,0,1,0,23,2016-04-07 18:00:00,newicon/cog.png
36,高级散点图,Senior Scatter Plot,seniorscatterplot,plot,基础绘图,senior scatterplot,"senior,scatterplot",将表格数据绘制成一个可包含辅助线和相关系数的散点图。,将表格数据绘制成一个可包含辅助线和相关系数的散点图,Demonstrate file data in a scatter plot with auxiliary lines and correlation coefficient.,1,0,3,174,000,0,1,0,26,2016-04-18 18:00:00,newicon/seniorscatterplot.png
37,三维PCA,Three-dimension PCA,seniorpca,cluster,聚类分析,"senior , PCA, 3D","senior,pca,3d,主成分分析",3d PCA图。,"将多个变量通过线性变换，筛选出数个比较重要的变量,用3D形式展示出来",Convert linearly massive variables into several important variables and draw a three-dimension score plot.,1,0,4,218,000,0,0,0,28,2016-05-18 18:00:00,newicon/seniorpca.png
38,edgeR/DESeq2差异分析,Differential Expression Analysis,diffanalysis,count,统计分析,"senior, variation analysis","senior,差异分析",差异分析。,选择edgeR或DESeq2计算两组样本之间差异表达基因,Find out differentially expressed genes between two groups of data.,5,0,5,583,000,0,1,0,30,2016-05-30 18:00:00,newicon/diffanalysis.png
39,权重网络图,Weighted Interaction Network,cytoscape2,report,动态交互,"senior, cytoscape","权重网络图,可编辑",图形化显示权重网络。,一款图形化显示权重网络并进行分析和编辑的软件,Constructing weighted molecular interaction networks.,3,0,3,308,000,0,1,1,33,2016-07-13 18:00:00,newicon/cytoscape2.png
40,线性回归图,Linear Regression plot,regressionline,plot,基础绘图,"scatter, regression",点，回归,将表格数据绘制成包含趋势线的散点图。,将表格数据绘制成包含趋势线的散点图,Plotting the relationship between a scalar dependent variable y and one explanatory variable x.,1,0,3,144,000,0,1,0,37,2016-11-17 18:00:00,newicon/regressionline.png
41,3D散点图,Three-dimension scatter plot,threedscatterplot,plot,基础绘图,"3D, scatterplot","点,立体,回归分析",将表格数据绘制成一个3D散点图。,将表格数据绘制成一个3D散点图,Demonstrate file data in a three-dimension scatter plot.,1,0,3,109,000,0,1,0,38,2016-11-17 18:00:00,newicon/threedscatterplot.png
42,饼图,Pie chart,pie,plot,基础绘图,"visual, pie","饼,比例",将表格数据绘制成一个饼图。,将表格数据绘制成一个饼图,Demonstrate file data in a pie chart.,2,0,3,158,000,0,1,0,39,2016-11-17 18:00:00,newicon/pie.png
43,解读SAM flag,Decoding SAM flag,samflag,form,表格与格式,"SAM flag, format",SAM flag,解读SAM flag。,解读SAM flag,Identify the properties of a read based on its SAM flag value or obtain a SAM flag value based on the reads properties.,0,0,0,46,000,0,1,0,40,2016-11-17 18:00:00,newicon/samflag.png
44,GO分类柱状图,OSGO,osgo,func,功能分析,Omicshare GO enrichment,"osgo,go",绘制一组或多组数据的GO二级分类注释柱状图。,绘制一组或多组数据的GO二级分类注释柱状图,Plotting GO (gene ontology) annotations (the second level) in three GO ontologies from one or more groups of data.,2,0,6,291,000,0,1,0,41,2016-11-17 18:00:00,newicon/osgo.png
45,fq2fa,fq2fa,fq2fa,form,表格与格式,"fastq,fasta","fastq,fasta",把fastq文件转化为fasta文件,把fastq文件转换为fasta文件,Covert fastq files to fasta files,0,0,0,56,000,0,0,0,62,2019-04-15 18:00:00,newicon/fq2fa.png
46,(O)PLS-DA,Differential metabolites analysis,diff_metabolin,count,统计分析,"differential, metabolites","差异，代谢物，分析,plsda,oplsda",代谢物差异分析就是找出两组样本间差异表达的代谢物。,利用（O）PLS-DA分析，计算两个分组的差异物质（如代谢物）,Differential metabolites analysis tool is used to screen out differential metabolites between two groups of samples.,3,0,5,346,000,0,1,0,42,2017-04-18 18:00:00,newicon/diff_metabolin.png
47,PCoA,pcoa,pcoa,cluster,聚类分析,pcoa,"pcoa,线性，降维",线性模型将样本距离进行降维展示,线性模型将样本距离进行降维展示,Using the linear model to reduce the sample distance dimension display,3,0,4,234,000,0,1,0,43,2017-08-14 18:00:00,newicon/pcoa.png
48,NMDS,nmds,nmds,cluster,聚类分析,nmds,nmds，非线性，降维,非线性模型将样本距离进行降维展示,非线性模型将样本距离进行降维展示,Using the non-linear model to reduce the sample distance dimension display,1,0,4,166,000,0,1,0,44,2017-08-14 18:00:00,newicon/nmds.png
49,ROC,roc,roc,count,统计分析,roc,roc,ROC曲线用来评价一个二值分类器（如生物标记物）的优劣,ROC曲线用来评价一个二值分类器（如生物标记物）的优劣,"ROC curve, is a graphical plot that illustrates the diagnostic ability of a binary classifier system(e.g. biomarker)",2,0,5,104,000,0,1,0,46,2018-01-08 18:00:00,newicon/roc.png
50,CCA/RDA,cca/rda,cca,cluster,聚类分析,CCA/RDA,"cca,rda",计算并展示环境因子、微生物群落和样本关系,计算并展示环境因子、微生物群落和样本关系,cca,2,0,4,157,000,0,1,0,47,2018-05-09 18:00:00,newicon/cca.png
51,小提琴图,Violin plot,violin,plot,基础绘图,"visualization, Violin plot",差异表达，分布展示,将表格数据绘制成一个小提琴图,将表格数据绘制成一个小提琴图,Visualizing data with a Violin plot,2,0,3,110,000,0,0,0,49,2018-05-25 18:00:00,newicon/violin.png
52,组内相关性分析,ICA(within groups),ica,count,统计分析,"relativity,within groups",组内，相关性，热图,云平台在线工具-组内相关性分析及热图展示,组内相关性分析及热图展示,within groups,5,0,5,239,000,0,1,0,50,2018-06-25 18:00:00,newicon/ica.png
53,组间相关性分析,ICA(inter group),ica2,count,统计分析,"analysis,Inter group",组间，相关性，热图,云平台在线工具-组间相关性分析及热图展示,组间相关性分析及热图展示,Inter group,5,0,5,311,000,0,1,0,51,2018-06-25 18:00:00,newicon/ica2.png
54,九象限图,Quadrant plot,jxx,plot,基础绘图,correlation analysis,"九象限,四象限图,四象限",转录组与蛋白组关联分析,转录组与蛋白组关联分析,correlation analysis between transcriptome and proteome,5,0,3,125,000,0,1,0,53,2018-07-19 18:00:00,newicon/jxx.png
55,小提琴图,Grouped Violin Plot,violin2,plot,基础绘图,Different expression,差异表达、多组比较,利用N个表格数据绘制分组小提琴图,利用N个表格数据绘制分组小提琴图,Using several table datas to draw a grouped violin diagram,2,0,3,96,000,0,1,0,52,2018-07-05 18:00:00,newicon/violin2.png
56,t检验,t-test,t_test,count,统计分析,"t-test,diffanalysis","statistical,t-test","进行两组样本的差异分析,使用R语言进行t检验","进行两组样本的差异分析,使用R语言进行t检验",this tool determine if two groups of data are significantly different from each other,2,0,5,134,000,0,1,0,54,2018-07-24 18:00:00,newicon/t_test.png?v=2
57,动态GO富集分析,GO enrichment analysis,goenrich,report,动态交互,GO enrichment analysis,富集分析、动态报告,利用统计检验寻找富集GO功能，并通过图表交互形式对结果进行动态分析。,利用统计检验寻找富集GO功能，并通过图表交互形式对结果进行动态分析。,Analyze GO terms that significantly enriched in a given gene set comparing to the genome background.,30,0,1,506,000,0,1,0,56,2018-08-31 18:00:00,newicon/goenrich.png
58,circos物种关系图,circos,circos,plot,基础绘图,circos,circos,将物种分组和丰度信息以circos图展示,将物种分组和丰度信息以circos图展示,Draw a circus plot to display relationship between sample and taxa,5,0,3,194,000,0,1,0,57,2018-09-20 18:00:00,newicon/circos.png
59,秩和检验,rank sum test,rank_sum_test,count,统计分析,"Rank sum test,diffanalysis","statistical,t-test","进行两组样本的差异分析,使用R语言进行秩和检验","进行两组样本的差异分析,使用R语言进行秩和检验",this tool determine if two groups of data are significantly different from each other,2,0,5,63,000,0,1,0,60,2018-11-13 18:00:00,20210611181923208436.png
60,动态KEGG富集分析,Dynamic Pathway Enrichment Analysis,koenrich,report,动态交互,enrichment analysis,富集分析、动态报告,Pathway富集分析 。,利用统计检验寻找富集KO功能，并通过图表交互形式对结果进行动态分析。,Pathway enrichment analysis in given gene sets comparing to the genome background.,30,0,1,537,000,0,1,0,59,2018-10-24 18:00:00,newicon/koenrich.png
61,动态PCoA(基础版),Dynamic pcoa,reportpcoa,report,动态交互,pcoa,PCoA 物种分类/OTU  bray / jaccard,可个性化筛选数据，并获得物种分类和OTU水平的样本距离，以PCoA和热图直观展示,可个性化筛选数据，并获得物种分类和OTU水平的样本距离，以PCoA和热图直观展示。,Using the linear model to reduce the sample distance dimension display,6,0,1,70,000,0,0,0,58,2018-10-11 18:00:00,newicon/reportpcoa.png
101,UpSet韦恩图,UpSet Venn,seniorvenn,plot,基础绘图,"venn, senior","venn,维恩,韦恩图,韦恩",用来显示数据元素重叠区域。,用来显示数据元素重叠区域,Shows all possible logical relations between different data sets,3,0,4,155,000,0,1,0,61,2018-12-21 18:00:00,newicon/seniorvenn.png
104,Swiss-Prot注释,Swiss-Prot annotation,swiss_anno,annotation,注释工具,,,,将目标序列比对到Swiss-Prot数据库,align the query sequences to the Swiss-Prot protein database to obtain functional annotations,2340,1638,0,20,000,0,1,1,63,2019-04-15 18:00:00,newicon/swiss_anno.png
105,AnimalTFDB注释,AnimalTFDB annotation,animal_anno,annotation,注释工具,,,,对目标序列进行动物转录因子数据库的注释,align nucleic acid or protein sequences to animalTFBD to predicte TF families,1560,1092,0,8,000,0,1,1,70,2019-04-25 18:00:00,newicon/animal_anno.png
106,PHI注释,PHI annotation,phi_anno,annotation,注释工具,,,,对序列进行PHI数据库注释并统计。,Sequences annotation for PHI database.,1560,1092,0,13,000,0,1,1,71,2019-04-25 18:00:00,newicon/phi_anno.png
107,GO功能注释,GO Annotation,go_anno,annotation,注释工具,,,,将目标序列比对注释到GO数据库,align the query sequences to the GO database.,2340,1638,0,102,000,0,1,1,64,2019-04-15 18:00:00,newicon/go_anno.png
108,KEGG功能注释,KEGG Annotation,kegg_anno,annotation,注释工具,,,,将目标序列注释到KEGG数据库,align the query sequences to the KEGG database.,2340,1638,0,101,000,0,1,1,65,2019-04-15 18:00:00,newicon/kegg_anno.png
109,NR注释,NR Annotion,nr_anno,annotation,注释工具,,,,将目标序列比对注释到NR数据库,align the query sequences to the NR database.,2340,1638,0,21,000,0,1,1,66,2019-04-15 18:00:00,newicon/nr_anno.png
110,细菌抗性基因（ARDB）注释,ARDB annotation,ardb_ant,annotation,注释工具,,,,可对细菌的耐药蛋白进行注释,annotation for bacteria resistance protein in ARDB,1950,1365,0,9,000,0,1,1,72,2019-04-25 18:00:00,newicon/ardb_ant.png
112,细菌致病菌毒力因子（VFDB）注释 ,VFDB annotation,vfdb_ant,annotation,注释工具,,,,用于致病细菌、衣原体和支原体的致病因子注释,annation for virulence factors in VFDB,1560,1092,0,7,000,0,0,1,73,2019-04-25 18:00:00,newicon/vfdb_ant.png
113,细菌抗性基因（CARD）注释,CARD annotation,card_ant,annotation,注释工具,,,,对细菌基因组进行CARD数据库耐药基因注释,Resistence gene annotation in CARD,1560,1092,0,8,000,0,1,1,74,2019-04-25 18:00:00,newicon/card_ant.png
114,COG注释,COG annotation,cog_anno,annotation,注释工具,,,,对目标序列进行COG数据库注释并统计。,Sequences annotation for COG database,2340,1638,0,15,000,0,1,1,67,2019-04-15 18:00:00,newicon/cog_anno.png
115,KOG注释,KOG annotation,kog_anno,annotation,注释工具,,,,对目标序列进行KOG数据库注释并统计。,Sequences annotation for KOG database,1560,1092,0,17,000,0,1,1,68,2019-04-15 18:00:00,newicon/kog_anno.png
116,eggNOG注释,eggNOG annotation,eggnog_anno,annotation,注释工具,,,,对目标序列进行eggNOG数据库注释并统计。,Sequences annotation for eggNOG database,1560,1092,0,9,000,0,1,1,75,2019-04-25 18:00:00,newicon/eggnog_anno.png
117,Pfam注释,Pfam annotation,pfam_anno,annotation,注释工具,,,,比对Pfam数据库进行注释,Sequences annotation for Pfam database.,1950,1365,0,25,000,0,1,1,69,2019-04-15 18:00:00,newicon/pfam_anno.png
118,CAZy注释,CAZy annotation,cazy_anno,annotation,注释工具,,,,比对CAZy数据库进行注释,Sequences annotation for CAZy database.,1560,1092,0,10,000,0,1,1,76,2019-04-25 18:00:00,newicon/cazy_anno.png
120,plantTFdb注释,plantTFdb annotation,planttfdb_anno,annotation,注释工具,,,,对目标序列进行plantTFdb数据库注释，寻找潜在的转录因子,align nucleic acid or protein sequence to plantTFdb to predicte TF families,1560,1092,0,29,000,0,1,1,77,2019-04-25 18:00:00,newicon/planttfdb_anno.png
121,三元图,ternary plot,ternary_plot,plot,基础绘图,,,,用一个带有表头的表格数据绘制一个三元图。,Draw a ternary graph with tabular data with a header.,8,0,0,31,000,0,1,1,78,2019-08-30 18:00:00,newicon/ternary_plot.png
122,两组检验柱形图（兼容两组文件）,Significance marker difference analysis（Two groups）,2_groups_sig,count,统计分析,,,,两组样本间进行T检验和秩和检验，显著差异的组间标注显著线,"T test and rank sum test were performed between the two groups of samples, and significant differences were marked between the groups.",3,0,0,49,000,0,1,1,79,2019-10-23 18:00:00,newicon/2_groups_sig.png
123,两组检验柱形图（兼容多组文件）,Significance marker difference analysis（Multiple groups）,mul_groups_sig,count,统计分析,,,,多组样本间两两进行T检验和秩和检验，显著差异的组间标注显著线,"T-test and rank sum test were performed between multiple groups of samples, and significant differences between groups marked with significant differe",3,0,0,99,000,0,1,1,80,2019-10-23 18:00:00,newicon/mul_groups_sig.png
124,断轴柱状图,Broken axis histogram,broken_columns,plot,基础绘图,,,,用一个带有表头的的表格数据绘制一个断轴柱状图。,Draw a Broken axis histogram chart with tabular data with a table head,2,0,0,44,000,0,1,1,82,2019-12-11 18:00:00,newicon/broken_columns.png
125,tSNE,tSNE,tsne,cluster,聚类分析,,,,通过非线性降维模型将多个样本投影至二维平面展示，暂不支持单细胞数据降维,Reduce multiple samples to two-dimensional plane via the nonlinear reduction model. Not available for sing-cell data for the moment.,1,0,0,48,000,0,1,1,81,2019-11-22 18:00:00,newicon/tsne.png
126,两组检验箱线图（兼容两组文件）,box two sig,box_two_sig,count,统计分析,,,,两组样本间进行T检验和秩和检验，绘制箱线图，两组间显著差异的箱线图标注显著线,"T test and rank sum test were performed between the two groups of samples, and a box plot was drawn. Significant differences were marked between the",2,0,0,33,000,0,0,1,83,2019-12-11 18:00:00,newicon/box_two_sig.png
127,两组检验箱线图,box mul sig,box_mul_sig,count,统计分析,,,,两组及多组样本间两两进行T检验和秩和检验，绘制箱线图，显著差异的组间标注显著线,"T-test and rank sum test were performed between multiple groups of samples, and a box plot was drawn. Significant differences between groups marked wi",2,0,0,130,000,0,1,1,84,2019-12-11 18:00:00,newicon/box_mul_sig.png
128,富集分析条形图,Enrichment bar chart,enrich_bar,func,功能分析,,富集条形、富集条形图,,GO、KO、DO、Reactome富集分析结果绘制条形图,Enrichment analysis results draw bar plot .,8,0,0,106,000,0,1,1,86,2019-12-25 18:00:00,newicon/enrich_bar.png
129,配对T检验,paired t test,paired-t-test,count,统计分析,,,,在保留样本配对关系的前提下进行两组间差异T检验,This tool is used to estimate whether two groups have significant difference via t-test based on paired relationship.,2,0,0,27,000,0,1,1,55,2018-07-24 18:00:00,20210301092108903147.png
130,配对edgeR/DESeq2差异分析,paired differential expression analysis,paired-deg,count,统计分析,,,,在保留样本配对关系的前提下分析两组间差异表达的基因,Find out differential expression genes via edgeR based on paired relationship,3,0,0,40,000,0,1,1,31,2016-06-02 18:00:00,newicon/paired-deg.png
131,字母标识柱形图,Letter identification column chart,letter_sig,count,统计分析,,,,利用多重比较的方法进行比较组间差异分析，差异程度由字母表示。,"Multiple comparisons were used to analyze differences between groups, and the degree of difference was indicated by letters.",3,0,0,91,000,0,1,1,85,2019-12-11 18:00:00,newicon/letter_sig.png
132,动态热图,Dynamic Heatmap,reportheatmap,report,动态交互,pcoa,"热图,聚类,heatmap",将表格数据绘制成一个热图。,将表格数据绘制成一个热图,A graphical representation of data matrix with colors.,25,0,0,294,000,0,1,1,87,2020-04-30 18:00:00,20220117153558139840.png
133,PCA,PCA,reportpca,report,动态交互,pca,"pca,主成分,筛选,主成分分析",对多个变量进行线性变换，将高维数据降维在到平面进行展示。,将多个变量通过线性变换，筛选出数个比较重要的变量。,Convert linearly massive variables into several important variables and draw a two-dimension score plot.,15,0,0,814,000,0,1,1,99,2020-08-14 18:00:00,newicon/reportpca.png
135,动态ROC,Dynamic roc,reportroc,report,动态交互,,,,ROC曲线可用于评价一个二值分类器（如生物标价物）的优劣。,ROC curve can be used to evaluate a binary classifier (such as biomarker),8,0,0,24,000,0,1,1,108,2020-08-20 18:00:00,newicon/reportroc.png
136,动态CCA,Dynamic cca,reportcca,report,动态交互,,,,计算并展示解释变量、响应变量和样本间的关系,"Calculate and show the relationship among explanatory variables, response variables and samples",15,0,0,43,000,0,1,1,102,2020-08-14 18:00:00,newicon/reportcca.png
137,动态相关性热图（组内）,Correlation analysis within group,reporticawg,report,动态交互,,"相关性热图组间,相关性热图组内,组间相关性热图,组内相关性热图",,计算表格内所有元素的两两相关性,Calculate the pairwise correlation of all elements in the table,15,0,0,165,000,0,1,1,90,2020-08-07 18:00:00,20220117153730528008.png
138,动态相关性热图（组间）,Correlation analysis between groups,reporticabg,report,动态交互,,"相关性热图组间,相关性热图组内,组间相关性热图,组内相关性热图",,展示两个表格之间所有元素的两两相关性,Show the pairwise correlation of all elements between two tables,15,0,0,285,000,0,1,1,91,2020-08-07 18:00:00,20220117153653456197.png
139,动态富集条形图,Dynamic Enrichment bar chart,report_enrich_bar,report,动态交互,,,,使用条形图展示富集分析结果,Show enrichment analysis results by bar graph,8,0,0,57,000,0,1,1,114,2020-08-28 18:00:00,newicon/report_enrich_bar.png
140,动态雷达图,Dynamic radar,reportradar,report,动态交互,,,,展示两个比较组之间的数据显著差异结果,Show the results of significant differences in data between the two comparison groups,15,0,0,78,000,0,1,1,109,2020-08-20 18:00:00,newicon/reportradar.png
141,富集气泡图,Enrichment bubble chart,report_enrich_bubble,report,动态交互,,,,使用气泡图展示富集分析结果,Using bubble chart to show the results of enrichment analysis,15,0,0,739,000,0,1,1,113,2020-08-28 18:00:00,newicon/report_enrich_bubble.png
142,动态RDA,Dynamic rda,reportrda,report,动态交互,,,,计算并展示解释变量、响应变量和样本间的关系,"Calculate and show the relationship among explanatory variables, response variables and samples",15,0,0,53,000,0,1,1,103,2020-08-14 18:00:00,newicon/reportrda.png
